party_rk,product1,product2,product3,product4,product5,product6,product7
74874,1,1,0,0,0,0,0
83618,0,0,1,1,1,0,0
73766,0,0,0,1,1,0,0
60218,0,1,0,0,0,0,0
47253,0,0,0,1,1,0,0
84832,0,0,0,1,1,0,0
39046,0,0,0,1,0,0,0
14840,0,1,0,1,1,0,0
45657,0,0,0,1,0,0,0
35422,0,0,0,1,1,0,1
48900,0,0,0,1,1,0,0
52509,0,0,1,1,0,0,0
21980,0,1,0,1,0,0,0
22299,0,1,0,0,1,0,0
76017,0,0,0,1,1,1,0
39228,1,0,0,1,1,0,0
68890,0,1,0,0,0,0,1
9872,0,1,0,1,0,0,0
63491,0,1,0,1,1,0,0
60144,0,0,0,1,0,0,0
395,0,1,0,0,0,0,0
31595,0,0,0,1,1,0,0
90259,0,0,0,1,1,0,0
16446,0,0,0,1,1,0,0
36764,0,1,0,0,0,0,0
64148,0,1,0,0,1,0,0
43976,0,1,0,0,1,0,0
21572,0,1,0,1,0,0,0
62250,1,1,0,1,1,1,0
19649,0,0,0,1,1,0,0
90135,0,0,0,1,0,1,0
49225,0,0,0,1,0,0,0
18420,0,1,1,1,1,0,0
11615,0,1,0,1,0,0,1
56148,0,0,0,1,0,1,0
70976,0,1,0,0,1,0,0
49775,1,0,1,1,0,1,0
2319,0,1,0,0,1,0,0
38572,0,1,0,0,0,0,0
68203,0,1,0,0,1,0,1
34967,0,1,0,0,0,0,0
33993,0,1,0,0,0,0,0
48665,0,1,0,1,1,0,1
28230,0,1,0,1,0,0,0
42356,0,1,0,1,1,0,0
32072,0,1,0,0,1,0,1
12787,0,0,0,1,1,0,0
53301,0,1,0,0,0,0,0
64132,0,1,0,1,1,0,1
12740,0,0,0,1,0,0,0
80155,1,1,0,1,1,0,0
92862,0,1,0,0,1,0,0
50596,0,1,0,0,1,0,1
80747,0,0,0,1,0,0,0
32647,0,0,0,1,1,0,0
22781,0,0,0,1,0,0,0
42547,0,1,0,0,0,0,1
89209,0,0,0,1,0,0,0
77184,0,0,0,1,0,0,0
37592,0,1,0,0,0,0,0
57511,0,0,0,1,0,0,0
59466,0,1,0,0,0,0,1
81265,0,1,0,0,1,0,0
56911,0,0,0,1,1,1,0
32317,0,1,0,0,0,0,0
92950,0,1,0,0,1,0,0
31703,0,1,0,1,1,0,0
70558,0,0,1,1,0,0,0
15005,0,0,1,1,1,1,0
3141,0,1,0,1,1,0,0
71134,1,0,0,1,0,0,0
60306,0,0,0,1,0,0,0
81327,1,1,0,1,0,0,1
61192,1,0,1,1,1,0,0
65490,0,1,0,0,0,0,0
60402,0,1,0,0,1,0,0
16969,0,1,0,1,0,0,0
66427,0,1,0,0,1,0,0
37833,0,1,0,0,1,0,0
17335,0,1,0,1,1,0,0
91333,1,1,0,0,1,0,0
33252,0,1,0,0,0,0,0
79255,0,0,1,1,1,0,0
23146,0,0,0,1,1,0,0
8475,1,1,0,0,0,0,0
10431,0,1,1,1,0,0,1
47708,0,0,0,1,1,0,0
11106,0,0,1,1,1,1,0
53381,0,1,0,0,1,0,0
40905,0,1,0,0,1,0,0
59860,0,1,0,0,0,0,1
83345,0,1,0,0,1,0,0
26261,0,1,0,0,0,0,0
72223,1,0,0,1,1,0,0
45413,0,1,0,0,0,0,0
38821,0,1,0,1,1,0,0
66370,0,1,0,0,0,0,0
46045,0,1,0,1,0,0,0
69816,1,1,0,1,0,0,0
59400,0,1,0,1,1,0,1
40240,1,1,0,1,0,0,0
4451,0,0,0,1,1,0,0
64983,1,0,0,1,1,0,0
61396,1,1,0,0,1,0,0
93586,0,1,0,0,1,0,0
35067,1,1,0,1,1,0,0
67709,0,1,1,1,0,0,1
14446,0,0,0,1,0,1,0
91971,0,0,1,1,0,0,0
88293,0,0,0,1,0,0,0
79235,0,1,0,0,0,0,1
55205,0,1,0,0,1,0,0
75957,0,0,1,1,1,0,0
74236,0,1,0,0,1,0,1
89260,1,0,0,1,1,0,0
12683,1,1,0,0,1,0,0
43566,0,1,0,0,1,0,0
67926,0,0,1,1,1,0,0
35275,0,1,0,0,1,0,0
64002,0,0,0,1,1,0,1
25549,0,0,0,1,1,0,0
49794,0,1,1,1,1,0,1
365,0,1,0,0,1,0,0
71849,0,1,0,0,0,0,0
85055,0,0,0,1,1,0,0
69550,0,1,0,0,0,0,0
86876,0,0,0,1,1,0,0
93810,0,1,0,0,1,0,0
42502,0,1,0,1,1,0,0
36078,0,0,0,1,1,0,0
51006,0,0,0,1,0,0,0
42144,1,0,1,1,0,0,0
16598,0,0,0,1,1,0,0
77929,0,1,0,0,0,0,0
15486,0,1,0,0,1,0,0
45912,0,1,0,1,0,0,0
53760,0,0,0,1,1,0,0
38471,0,0,0,1,0,0,0
31655,1,1,0,1,1,0,0
80124,0,0,1,1,1,0,0
16935,0,1,0,1,0,0,0
25771,0,1,0,1,1,0,1
76124,0,1,0,0,0,0,0
54641,0,0,0,1,0,0,1
15225,1,0,0,1,1,0,0
63494,0,1,0,0,0,0,0
59134,0,1,0,1,0,0,0
72025,0,1,0,1,1,0,0
75577,0,1,0,0,1,0,0
14923,0,1,0,1,0,0,1
42246,0,1,0,0,0,0,0
57344,0,1,0,1,1,0,0
24081,0,0,0,1,0,0,1
91210,1,1,0,0,0,0,0
65974,0,1,0,0,1,0,0
73659,1,0,0,1,0,1,0
58689,0,0,0,1,0,0,1
85337,0,1,0,1,0,0,0
64089,0,0,0,1,1,0,0
63733,0,1,0,0,1,0,0
23922,0,1,0,0,1,0,0
1299,0,1,0,1,1,0,0
77839,0,1,0,1,0,0,1
42596,0,0,0,1,0,0,0
30785,0,0,1,1,1,0,0
75825,0,1,1,1,1,0,0
77040,1,1,0,0,1,0,0
90699,0,0,0,1,1,0,0
69855,0,1,0,0,1,0,1
78040,0,1,0,1,0,0,0
72742,0,1,0,0,0,0,0
61942,0,1,0,1,0,0,1
62382,0,0,1,1,1,0,0
72769,0,1,0,0,0,0,0
28676,0,1,1,1,1,0,1
46745,0,0,0,1,1,1,0
11969,0,0,0,1,1,1,0
53151,0,1,1,1,1,0,1
61227,0,1,1,1,0,1,0
35820,0,1,0,0,0,0,0
83447,1,0,1,1,0,1,0
64590,0,0,0,1,0,0,0
25630,0,1,0,1,1,0,0
57738,1,0,0,1,1,0,0
93604,0,1,0,0,0,0,0
92946,0,1,0,0,1,0,0
71489,0,1,0,0,0,0,0
49893,0,0,0,1,1,0,0
22344,0,1,0,1,0,0,0
81045,0,0,0,1,0,0,0
74013,1,1,0,1,1,0,0
22962,0,1,0,1,0,0,1
81689,0,0,0,1,1,0,0
61628,0,1,0,0,1,0,0
78411,1,1,0,0,1,0,0
15599,0,1,1,1,1,0,0
53780,0,1,1,1,0,0,0
66981,0,1,0,1,0,0,0
22512,0,1,0,0,0,0,0
59552,0,0,1,1,0,0,0
39601,0,1,0,1,1,0,1
55439,0,0,0,1,0,0,1
77664,0,0,0,1,1,0,1
58687,0,0,0,1,0,1,0
52329,0,1,0,0,0,0,0
33545,0,0,1,1,0,0,0
42064,0,1,0,1,1,1,0
47684,0,0,0,1,0,0,0
10813,0,1,1,1,1,1,1
10566,0,1,0,1,0,1,0
53939,0,0,0,1,1,0,1
53532,0,0,0,1,1,0,0
15274,0,0,1,1,1,0,1
68199,0,0,1,1,0,1,0
6069,0,1,0,1,1,0,0
44706,0,1,0,1,1,0,1
56447,0,0,1,1,1,0,0
5341,0,1,0,1,0,0,1
65968,0,1,0,0,1,0,0
63258,0,1,0,0,1,0,0
17634,0,1,0,0,0,0,0
67422,0,1,0,0,1,0,0
72803,0,1,0,0,0,0,1
28691,0,1,0,0,0,0,0
19502,0,0,0,1,1,1,0
440,1,1,0,1,0,0,1
14087,0,1,0,0,0,0,0
55159,0,0,0,1,1,0,0
28017,0,0,0,1,1,1,0
76987,0,0,0,1,0,0,0
78156,1,1,0,1,1,0,1
29338,1,1,0,1,1,0,0
84836,0,0,1,1,0,0,0
75925,0,1,0,0,1,0,0
924,0,1,0,0,0,0,0
3072,0,1,0,1,0,0,0
62897,0,1,0,0,0,0,1
40143,0,1,0,0,1,0,1
32468,1,0,0,1,1,0,0
4969,0,1,0,0,0,0,0
68051,0,1,0,1,1,0,0
87382,0,0,0,1,0,0,0
1481,0,1,0,1,0,0,1
79842,1,0,0,1,1,0,1
33611,0,1,0,0,1,0,1
85587,0,0,0,1,1,0,0
51820,1,0,0,1,1,0,1
39891,0,1,0,1,1,0,1
33725,0,1,0,0,1,0,0
85027,0,0,0,1,0,0,0
16138,0,1,0,0,0,0,0
16422,0,0,0,1,1,1,0
41127,0,1,0,0,1,0,1
24512,0,0,0,1,1,0,0
93951,0,1,0,1,0,0,1
56330,0,1,0,1,1,0,0
87444,0,0,0,1,1,0,0
14682,1,0,0,1,1,0,0
73680,0,0,1,1,1,0,0
