party_rk,gender_cd,age,marital_status_desc,children_cnt,region_flg
61243,F,70.0,,0,0
66535,F,25.0,,0,0
83721,M,55.0,Женат/замужем,0,0
88238,F,35.0,,0,0
57179,F,30.0,Женат/замужем,0,0
66793,M,40.0,Женат/замужем,0,0
93895,F,40.0,,0,0
24352,M,35.0,Женат/замужем,1,0
812,M,75.0,,4,1
82426,F,50.0,"Вдовец, вдова",0,1
85512,M,25.0,Холост/не замужем,0,0
94343,F,30.0,Холост/не замужем,0,0
64918,M,25.0,Холост/не замужем,0,0
89849,M,35.0,Женат/замужем,0,0
12883,M,45.0,Женат/замужем,0,1
23830,M,45.0,Холост/не замужем,1,0
31163,F,45.0,Женат/замужем,0,0
66837,F,25.0,,0,0
4486,M,40.0,Женат/замужем,2,0
17640,M,25.0,Холост/не замужем,0,0
67245,M,40.0,Гражданский брак,0,0
86137,M,20.0,,0,0
6449,M,35.0,Гражданский брак,0,1
30456,F,60.0,,0,0
43510,M,25.0,Холост/не замужем,0,0
88840,M,40.0,,0,0
39302,F,45.0,Гражданский брак,0,0
10965,F,45.0,Женат/замужем,1,0
84514,F,40.0,,0,0
20137,M,40.0,Женат/замужем,1,0
82271,F,25.0,Холост/не замужем,0,0
9653,F,45.0,Женат/замужем,3,1
29454,F,50.0,Разведен (а),1,0
17261,F,25.0,Холост/не замужем,0,0
66305,F,30.0,Гражданский брак,0,0
83296,M,35.0,Женат/замужем,1,0
84733,M,30.0,Холост/не замужем,0,0
47055,F,25.0,Женат/замужем,0,0
58469,F,30.0,,0,0
66960,F,45.0,,0,0
71861,M,30.0,Женат/замужем,0,0
62992,M,35.0,Женат/замужем,0,0
86675,F,40.0,Женат/замужем,2,0
5885,M,35.0,Холост/не замужем,0,0
13671,F,40.0,Женат/замужем,1,0
23141,F,65.0,Женат/замужем,0,0
59316,M,40.0,,0,0
85072,M,25.0,,0,0
1687,F,50.0,Женат/замужем,2,0
7994,M,40.0,Женат/замужем,1,0
16543,F,40.0,Женат/замужем,0,0
52445,F,35.0,,0,0
27098,F,50.0,Женат/замужем,0,0
61708,M,20.0,Холост/не замужем,0,0
63597,M,50.0,Холост/не замужем,0,0
37350,M,40.0,Женат/замужем,1,1
42620,M,35.0,,0,0
57382,M,15.0,,0,0
60752,M,20.0,Холост/не замужем,0,0
72784,F,30.0,Женат/замужем,0,0
18940,F,40.0,,4,0
59327,F,65.0,"Вдовец, вдова",0,0
73166,F,40.0,Разведен (а),0,0
15463,F,45.0,Женат/замужем,2,0
67901,M,35.0,Холост/не замужем,0,0
25198,M,40.0,Женат/замужем,2,0
60895,F,30.0,Холост/не замужем,0,1
80763,F,40.0,Женат/замужем,0,1
1651,F,65.0,Разведен (а),2,0
57045,M,40.0,Холост/не замужем,0,0
62809,F,45.0,,0,0
23351,M,35.0,Женат/замужем,0,0
83533,F,25.0,Холост/не замужем,0,0
88142,F,20.0,,0,0
5612,F,45.0,Женат/замужем,1,0
48180,M,25.0,Холост/не замужем,0,0
63809,M,30.0,,0,0
68517,M,35.0,,0,0
72444,M,45.0,Холост/не замужем,0,0
27578,M,40.0,,0,0
66597,F,20.0,Женат/замужем,0,0
10501,F,35.0,Холост/не замужем,0,0
30543,M,60.0,Холост/не замужем,0,0
67328,F,25.0,Холост/не замужем,0,0
87555,M,25.0,Холост/не замужем,0,0
6391,M,35.0,Женат/замужем,1,0
71044,M,20.0,,0,0
37235,F,35.0,Женат/замужем,0,0
2901,F,75.0,"Вдовец, вдова",0,0
5194,M,50.0,Женат/замужем,1,0
18568,M,35.0,,0,0
67010,M,20.0,,0,1
33146,F,35.0,Холост/не замужем,0,1
49329,M,40.0,Холост/не замужем,0,0
53848,M,35.0,,0,0
86269,M,40.0,,0,0
92243,M,40.0,Холост/не замужем,0,0
48434,F,55.0,,0,0
33955,F,35.0,Холост/не замужем,0,0
70964,F,25.0,Гражданский брак,0,0
4580,F,35.0,Гражданский брак,1,0
48566,M,45.0,Холост/не замужем,1,0
70922,F,50.0,Гражданский брак,0,0
15479,M,30.0,Холост/не замужем,0,0
50609,M,30.0,Холост/не замужем,0,1
74854,F,35.0,,0,0
81001,F,30.0,,0,0
80583,F,35.0,Женат/замужем,0,0
26539,F,35.0,Женат/замужем,0,0
30789,M,30.0,Женат/замужем,0,0
42490,M,45.0,,0,0
47340,F,45.0,,4,0
70595,F,35.0,,0,0
6653,M,45.0,Женат/замужем,3,0
70113,M,50.0,Женат/замужем,0,0
94112,F,40.0,Холост/не замужем,0,1
4442,F,45.0,Гражданский брак,1,0
83484,F,40.0,Женат/замужем,0,0
26546,M,40.0,Холост/не замужем,1,0
47588,M,30.0,Женат/замужем,0,0
90228,F,25.0,,0,1
41648,F,50.0,,4,1
45953,M,30.0,Холост/не замужем,0,0
15037,F,40.0,,0,0
19186,F,30.0,Гражданский брак,1,0
81235,M,25.0,,0,0
7992,M,35.0,Женат/замужем,0,0
49427,M,55.0,,0,0
84761,M,30.0,Женат/замужем,0,0
17033,M,30.0,Холост/не замужем,0,0
14430,F,35.0,Женат/замужем,0,0
68592,F,30.0,Холост/не замужем,0,0
84050,F,25.0,Женат/замужем,0,0
