story_id,name,story_text
794,Профессия: свадебный организатор,"["""",""Как стать свадебным организатором"",""Это Люба. Ей понравилось организовывать свою свадьбу, и она бросила работу юристом, чтобы стать свадебным организатором."",""Свадебный организатор — это такая «точка сборки» для свадьбы. Он делает так, чтобы всё нужное на свадьбу приехало, все хорошо провели время, а потом уехали по домам, а не в больницы."",""Одни организаторы работают сами по себе и получают клиентов через знакомых. Другие открывают агентства, в которых работают несколько организаторов."",""Чтобы набраться опыта, присмотреть себе помощников и познакомиться с подрядчиками, Люба потратила 48 000 ₽ на обучение в свадебных агентствах. "",""У свадебного организатора ненормированный график. В день торжества Люба уходит с площадки последней, когда демонтировали всё оборудование и уехала даже уборщица."",""Больше чем за год работы Люба провела 15 свадеб с бюджетами от 200 000 ₽ до 1 млн ₽. Свадьбу на миллион она готовила 6 месяцев и получила за нее 250 000 ₽."",""Люба убеждена, что в первую очередь свадьба — это логистика, документы, сметы и решение проблем."",""Читать о профессии""]"
821,Бизнес: магазин электроники,"["""",""Как открыть интернет-магазин электроники"",""Это Виктор и Михаил. Они производят и продают детали и целые наборы для любителей радиотехники."",""Чтобы запустить интернет-магазин, ребята закупили тестовую партию контроллеров на 40 000 ₽, взяли кредит в банке и открыли ООО. "",""Пик продаж приходится на ноябрь-декабрь, когда люди ищут подарки на праздники. Прибыль в эти месяцы доходит до 2,5 млн ₽."",""Сейчас в интернет-магазине около 400 позиций. Самый бюджетный конструктор продают за 990 ₽. Самый дорогой стоит 9990 ₽ — это робот, который ездит по линии и объезжает препятствия."",""Чтобы дальше развивать бизнес и выйти за рубеж, Виктор и Михаил разрабатывают приложение для программирования электроники."",""Читать историю о бизнесе""]"
824,Как у них: Сингапур,"["""",""Жизнь в Сингапуре"",""Это Славина. Вместе с мужем они решили сменить страну и климат и в 2014 году переехали в Сингапур. "",""Сингапур находится почти на экваторе. Круглый год тут +30 °C. С марта по август — сухой сезон. С сентября по февраль — сезон дождей. Пик ливней приходится на ноябрь и декабрь."",""Минимальная зарплата по рабочей визе 281 500 ₽ до вычета налогов. Налоги платят раз в год. Итоговую сумму считают по всему годовому доходу, включая бонусы."",""Квартиру с одной спальней в кондоминиуме в 30 минутах от центра на метро можно снять за 98 600—107 900 ₽. Коммуналка за такую квартиру получится на 4700—7100 ₽."",""В Сингапуре большое метро и много автобусных маршрутов. Доехать из одного конца города в другой стоит максимум 190 ₽. Чем меньше расстояние, тем меньше цена."",""Для сингапурцев еда — это национальный спорт. Поехать в другой конец города ради определенного блюда — нормальная практика. Ужин в ресторане в центре на двоих будет стоить порядка 4700 ₽ без алкоголя."",""Из Сингапура удобно путешествовать по Азии. До пляжа в Таиланде можно долететь за 2—2,5 часа, до горнолыжных курортов в Японии — за 7 часов. Если лететь местными лоукостерами, билеты будут недорогими."",""Читать о жизни в Сингапуре""]"
839,Студии йоги,"["""",""Студии йоги"",""7 московских студий, где можно попробовать разные направления йоги"",""от 500 ₽"",""Yoga Room"",""ул. Трубецкая, 10"",""В студии на «Фрунзенской» можно сходить на модную антигравити-йогу в гамаках. Это когда вы выполняете асаны в воздухе, отчего позвоночник разгружается, а мышцы быстро расслабляются. Здесь также преподают и более классические направления."",""Подробнее"",""от 650 ₽"",""Студия «Материал»"",""ул. Большая Дмитровка, 23"",""Если вы любите практиковать йогу под музыку и пение мантр, то вам сюда. Ведущий преподаватель направления дживамукти в России и основательница студии Анна Лунегова сделала все возможное, чтобы на практике было комфортно."",""Подробнее"",""от 1500 ₽"",""Студия «Воздух»"",""3-й Самотёчный пер., 11, стр. 1"",""«Воздух» открыли две подруги, в прошлом директоры театров «Практика» и «Политеатр». Из панорамных окон студии открывается вид на Самотёчный сквер и крыши домов. Кроме йоги, здесь проходят занятия по танцам, растяжке, медитации, а также силовые тренировки, лекции, праздники и вечеринки."",""Подробнее"",""от 900 ₽"",""Yoga Space"",""ул. Большая Дмитровка, 34, стр. 4"",""Просторный и светлый лофт Yoga Space на Большой Дмитровке мотивирует не пропускать уроки даже по утрам. Здесь проводят занятия по хатха, аштанга, нидра, дживамукти, йоге для женщин и даже практики с индивидуальным подходом и ритмом исполнения асан — Майсор."",""Подробнее"",""от 900 ₽"",""Bikram Yoga"",""ул. Правды, 24, стр. 2 \\\\nНижний Кисловский пер., 7, стр. 1"",""В бикрам-йоге асаны выполняются в предварительно нагретом помещении. Считается, что это улучшает кровообращение и общее состояние здоровья. Чтобы понять, насколько «горячая йога» подходит именно вам, стоит хотя бы один раз попробовать. "",""Подробнее"",""от 700 ₽"",""Retunsky Yoga Studio"",""Большой Каретный пер., 8/2"",""В «Ретунском» светлый интерьер и большие окна, выходящие на Цветной бульвар. Занятия здесь проходят каждый день с утра до вечера, можно выбрать подходящий уровень и направление йоги: от классической хатха до нидра и дживамукти."",""Подробнее"",""от 700 ₽"",""NYM Yoga"",""Плотников пер., 4/5"",""Основное направление модной студии NYM — дживамукти-йога. Это смесь хатха-йоги с медитациями и пением мантр. Здесь проводят занятия и по другим видам йоги: есть уроки для беременных, детей и даже авторская программа PSY по комплексному развитию души и тела. После класса можно сходить на массаж."",""Подробнее""]"
848,Как получать больше кэшбэка,"["""",""Как получать больше кэшбэка"",""Подключите категории повышенного кэшбэка"",""Каждые три месяца вы сможете выбирать три категории с повышенным кэшбэком 5% за покупки."",""Проверяйте спецпредложения каждые 2–3 недели"",""Регулярно проверяйте акции, чтобы не упустить выгодное предложение. Мы обновляем их каждые 2–3 недели."",""Спецпредложения"",""Оплачивайте картой как можно больше"",""Платить картой выгоднее, чем наличными. Чем больше денег с карты вы потратите, тем больше денег вернется на счет в виде кэшбэка."",""Заведите дополнительную карту для всей семьи"",""Можно оплачивать все семейные нужды с одного счета и увеличить кэшбэк за счет общих расходов."",""Детали счета → Оформить карту к счету."",""Расплачивайтесь в кафе за всю компанию"",""Пусть друзья переведут за себя деньги на ваш счет, а вы расплатитесь картой за всю компанию, чтобы получить кэшбэк за общую сумму счета."",""Планируйте поездки через Тинькофф Путешествия "",""Мы даем повышенный кэшбэк, если вы планируете отпуск на travel.tinkoff.ru:"",""— 4% за бронирование отелей,\\\\n— 2% за покупку авиабилетов,\\\\n— 3% за покупку билета на поезд,\\\\n— 4% за аренду авто."",""Запланировать отпуск""]"
851,Траты в поездке,"["""",""Как вы съездили\\\\n{{tr_country}}"",""Судя по вашим покупкам, в путешествии вы провели {{tr_days}}. С {{tr_date}}."",""{{tr_days}} {{tr_country2}}"",""{{tr_sum}} ₽"",""Столько вы потратили с карты за время поездки. А расплатились в {{tr_count}}."",""{{tr_days}} {{tr_country2}}"",""{{tr_sum_max}} ₽"",""{{tr_sum_merch}}"",""Это была ваша самая крупная \\\\nпокупка за поездку. Хорошо, что вы \\\\nвыбрали карту Тинькофф, потому \\\\nчто кэшбэк составил {{tr_cashback}}."",""{{tr_days}} {{tr_country2}}"",""{{tr_avg}} ₽"",""А эта сумма показывает, сколько в среднем вы тратили каждый день."",""{{tr_days}} {{tr_country2}}"",""{{tr_f_merch}}"",""Здесь вы чаще всего оплачивали покупки — целых {{tr_f_merch_c}}. Наверное, приятное место!"",""{{tr_days}} {{tr_country2}}"",""{{tr_f_cat1}}"",""Больше всего покупок было в этой категории. На втором месте — {{tr_f_cat2}}. А вы неплохо провели время!"",""{{tr_days}} {{tr_country2}}"",""{{tr_cash_c}}"",""Столько вы снимали наличные с карты Тинькофф — всего на сумму {{tr_cash_s}} ₽. На всякий случай: не снимайте мелкие суммы, а лучше расплачивайтесь картой."",""{{tr_days}} {{tr_country2}}""]"
872,Как у них: Тайвань,"["""",""Жизнь на Тайване"",""Это Таня. Она прожила на Тайване 10 лет. Ехала туда, чтобы подтянуть китайский язык, но в итоге доучилась до степени доктора наук."",""Тайваньскую визу можно получить за 3500 ₽ в московском представительстве по культурным и экономическим связям."",""Минимальная зарплата на Тайване в 2018 году составляет 44 000 ₽. Самые престижные рабочие места — в ИТ-компаниях: зарплаты рядовых сотрудников там — до 200 000 ₽."",""Квартиру-студию в центре Тайбэя можно снять за 24 000 ₽. Коммуналка за такое жилье получится — 4480 ₽ в месяц."",""Общественный транспорт на Тайване недорогой и удобный. Есть автобусы, метро, такси и прокат мотороллеров. Проездной на месяц на автобусы и метро стоит 1000 ₽, аренда мотороллера — 700 ₽ в день."",""Тайваньцы практически не готовят дома: проще и дешевле дойти до ближайшего кафе и заказать еду там. В среднем в месяц на еду уходит 10 000 ₽."",""Загорать и купаться на Тайване можно везде и практически круглый год. Одно из любимых развлечений местных жителей — горные прогулки."",""Читать о жизни на Тайване""]"
876,Повысьте статус карты,"["""",""Поменяйте свою карту на премиальную в один клик"",""Выгодный тариф и привилегии бизнес-класса"",""Зарабатывайте больше"",""До 30 000 ₽ в месяц — кэшбэк за любые покупки. \\\\n6% годовых — доход на любую сумму на карте.\\\\n0,5% — бонус от банка за пополнение вклада любым способом."",""Снимайте деньги без комиссии"",""1 000 000 ₽ в месяц в банкоматах Тинькофф Банка.\\\\nДо 50 000 ₽ в месяц — переводы с карты на карты без комиссии. "",""Получайте персональную помощь"",""За держателями карты Black Edition закреплен персональный менеджер — один из самых опытных сотрудников банка. Ответит вам в чате, по телефону или электронной почте, поможет быстро решить любую проблему."",""Пользуйтесь премиальным сервисом"",""Бесплатный консьерж-сервис организует деловой график, поездку и праздник.\\\\nАвтоконсьерж бесплатно свозит ваш автомобиль на техобслуживание в Москве."",""Путешествуйте с комфортом"",""Бесплатная страховка в путешествиях на всю семью: покрытие 100 000 $, включает горные лыжи и сноуборд.\\\\nКэшбэк 10% за бронирование отелей и 5% за авиабилеты через tinkoff.travel.ru.\\\\nКаждый месяц — 2 бесплатных прохода в бизнес-залы Lounge Key."",""Это бесплатно"",""Если вы держите на карточных, накопительных, брокерских счетах и вкладах Тинькофф не менее 3 млн ₽.\\\\nИли оплачиваете покупки на сумму не менее 200 000 ₽ в месяц со всех карт Тинькофф. "",""А если нет?"",""Обслуживание карты Black Edition — 1990 ₽ в месяц. "",""Смените карту в один клик"",""Повысьте статус своей карты и получите ее в новом дизайне. ""]"
894,Вы в соцсетях,"["""",""В каких соцсетях вы подписаны на Тинькофф Банк? \\\\n"",""Отметьте любые из 5 соцсетей"",""Фейсбук"",""Да"",""Нет"",""ВКонтакте"",""Да"",""Нет"",""Одноклассники"",""Да"",""Нет"",""Инстаграм"",""Да"",""Нет"",""Твиттер"",""Да"",""Нет"",""Спасибо за участие"",""Ваши ответы помогут нам сделать посты Тинькофф Банка в соцсетях полезнее. ""]"
917,5 мультиков на выходные,"["""",""5 хороших европейских мультфильмов"",""Что посмотреть в выходные?"",""6+"",""79 мин."",""Большой злой Лис и другие сказки"",""Франция, Бельгия, 2017"",""Лауреат главной французской кинопремии «Сезар», мультфильм «Большой злой Лис и другие сказки» — сборник из трех новелл о приключениях деревенских животных. "",""Смотреть"",""6+"",""80 мин."",""Красная черепаха"",""Франция, Япония, 2016"",""Философская притча о жизни от голландского мультипликатора Михаэля Дюдок де Вита, сделанная на легендарной японской студии Миядзаки. Этот мультфильм — авторское прочтение истории о Робинзоне, без слов, но с очень хорошим саундтреком. "",""Смотреть"",""6+"",""93 мин."",""Песнь моря"",""Ирландия, 2014"",""Ирландский эпос, мифы и легенды, показанные через историю одной семьи. Необычный мультфильм о приключениях, магических сражениях и чудесном спасении, сделанный в фирменном стиле ирландской студии Cartoon Saloon."",""Смотреть"",""6+"",""100 мин."",""Кот раввина"",""Франция, 2011"",""История жизни одной алжирской семьи начала 20-го века, в которой говорящий кот изучает Тору, признается в любви своей хозяйке и старается не дать в обиду ее отца-раввина. Саркастический мультфильм о толерантности, свободе выбора и необходимости нести за него ответственность."",""Смотреть"",""6+"",""80 мин."",""Эрнест и Селестина: приключения мышки и медведя"",""Франция, Бельгия, Люксембург, 2012"",""Трогательная сказка о настоящей дружбе и вредности стереотипов. В выдуманном мире мыши живут отдельно от медведей, потому что они — злейшие враги. Однако мышка-художница Селестина подружится с медведем-музыкантом Эрнестом, и эта парочка научит всех дружить. "",""Смотреть""]"
